brand,tier,year,season,dispersion_mean,dispersion_std,lab_entropy_mean,mean_L,saturation_mean,saturation_std,value_mean,hue_conc_mean,hue_mean,n_images,ARI_raw,ARI
Lacoste,Fast Fashion,2013,Fall,18.20004838088463,6.740180421324388,1.8786226805360684,41.914062795967894,0.2681603919880079,0.16825652722414292,0.46558297083568595,0.7223978429089477,0.3323587309053681,29,-0.7168330658679398,-0.4050815976316082
Lacoste,Fast Fashion,2013,Pre-Fall,27.978287560599192,10.578024851164399,1.8574211365879727,32.49196906316848,0.5447562698688624,0.2534155587051951,0.43292102264652826,0.7386389772892923,0.6133655948056729,21,1.636097671144331,0.9245570413329626
Lacoste,Fast Fashion,2013,Spring,22.973568439483643,7.742550325704429,2.344918003663312,50.728546714782716,0.3206187571215133,0.2266113413189493,0.5641660254153733,0.5898376553340959,0.49708259277876155,30,0.1515782243820837,0.0856566922237495
Lacoste,Fast Fashion,2014,Fall,18.156631565093996,7.215462268366533,1.7579461610969884,27.52894965807597,0.3558444838646178,0.15774023111020669,0.325555038495548,0.8125664015337843,0.4655726749803716,30,0.06870626480203978,0.03882583663968141
Lacoste,Fast Fashion,2014,Spring,20.514091623240503,5.767779915782554,1.8391471174051444,50.75806394116632,0.3587559711861199,0.1776855377986524,0.5396987236212489,0.7786265802069482,0.33320437382412105,29,-0.7946572397858193,-0.4490599549453074
Lacoste,Fast Fashion,2015,Fall,26.555194664001466,6.951170908796807,1.8484645891917577,39.47364819844564,0.4184337177070168,0.2418759010171634,0.46171321222831807,0.7093546777619752,0.4610357709372649,30,0.8201108845421623,0.4634437823305056
Lacoste,Fast Fashion,2015,Spring,30.851023772667194,11.2461709440525,2.0629851241833497,51.53067010024498,0.3834518397805955,0.22764774876901825,0.5842975071357435,0.652062200437657,0.46065414214302014,29,0.3446700000401533,0.1947726478031546
Lacoste,Fast Fashion,2016,Fall,24.814695898691813,8.370385283020365,1.8502950040516561,27.357972145080566,0.5107280281107252,0.21446853904618202,0.34688602347020053,0.6950111731083543,0.4890868379390294,30,1.4926708131996616,0.8435066775510386
Lacoste,Fast Fashion,2016,Spring,31.389821710257696,8.931501341498658,2.165006322775223,53.51165896448596,0.38358381495329325,0.2426090613635021,0.6175597141352964,0.6046945670465976,0.4007129677450083,29,0.4810945652296395,0.27186602345016403
Lacoste,Fast Fashion,2017,Fall,18.458900006612144,6.490135976961023,1.8321338031643093,27.398291238149007,0.3227485842542723,0.13073226028947443,0.3301014465087714,0.6442173984749721,0.4766901673920142,30,0.003967300629804689,0.002241917336026243
Lacoste,Fast Fashion,2017,Spring,30.08172314255326,6.421108819234313,1.9207120291741253,47.74859838132505,0.40186692536287694,0.2256736936967157,0.55827045095129,0.6576374244358083,0.5668904291376282,27,0.4124034390823534,0.23304874164806702
Lacoste,Fast Fashion,2018,Fall,24.977941184208312,7.055515039165591,2.451042939122065,37.60308357764934,0.31159472458706844,0.16496679916485588,0.4200121790112221,0.6098470322443281,0.4845478274555202,29,0.538392558025968,0.3042450578002579
