brand,tier,year,season,dispersion_mean,dispersion_std,lab_entropy_mean,mean_L,saturation_mean,saturation_std,value_mean,hue_conc_mean,hue_mean,n_images,bw_collection,vix_annual_mean,gdp_growth_world,recession,ecb_rate,eu_gdp_growth,eu_recession,vix_z,gdp_z,ecb_z,eu_gdp_z,disp_season_mean,disp_season_std,dispersion_z,vix_z_lag1,gdp_z_lag1,recession_lag1,ecb_z_lag1,eu_gdp_z_lag1,eu_recession_lag1,cd_change,ARI,aesthetic_mean,aesthetic_std,aesthetic_resid_mean,clip_within_sim,n_clip_images,semantic_boldness
Alexander McQueen,Avant-garde,2012,Resort,24.957749088605244,8.505059782383423,1.029147130149761,88.00764465332031,0.0671667641995784,0.1648980491233435,0.8894937932525062,0.8618753979179762,0.0614137237070438,24,0,17.8,2.73120979279709,0,0.13,-0.764417073932009,1,-0.3649628546985719,-0.068838025422928,-0.4237505722031098,-0.8135259218374611,25.594908834696763,5.487123553318951,-0.1161190813183213,0.6626011377134476,0.2435399391678105,0.0,-0.1302575639741755,0.2416611574512584,1.0,0,-2.4842729396443755,4.287083333333333,0.4973362012778168,-0.2261138952111723,0.8607615828514099,24,-0.3473106136164366
Alexander McQueen,Avant-garde,2012,Spring,30.62560971577962,6.438871684381001,2.704902058272134,53.48887926737468,0.1625904149113222,0.1703571201827979,0.5543691602011832,0.4269469997891233,0.4673722208822559,30,0,17.8,2.73120979279709,0,0.13,-0.764417073932009,1,-0.3649628546985719,-0.068838025422928,-0.4237505722031098,-0.8135259218374611,29.790283451124168,3.8571656075534695,0.2165647912600998,0.6626011377134476,0.2435399391678105,0.0,-0.1302575639741755,0.2416611574512584,1.0,0,-0.025111394925567,5.361764705882353,0.3815910962088638,0.6218432439863473,0.8504518866539001,30,0.11349387631000943
Alexander McQueen,Avant-garde,2013,Fall,30.39223117828369,5.079993472807932,2.6906123318987087,32.390248489379886,0.4343078710061808,0.2940917622362626,0.3814256280519068,0.6819063148780996,0.361911975954266,30,0,14.23,2.88814205849093,0,0.0,-0.0330405739034347,1,-0.9381508942159018,0.0118179486857605,-0.5268697372565191,-0.5303208025842753,28.76183111366184,4.758705051813628,0.3426142294741453,-0.3649628546985719,-0.068838025422928,0.0,-0.4237505722031098,-0.8135259218374611,1.0,0,1.4654713239141068,5.3989473684210525,0.2811346649877109,0.4850058720854135,0.8286462426185608,30,-0.04492873985277453
Alexander McQueen,Avant-garde,2013,Pre-Fall,22.002742369969685,8.762994199747851,1.608456549908064,71.64476331075032,0.098162801428077,0.1317803295256023,0.7255205337040437,0.8365745855941927,0.1199889771807524,30,0,14.23,2.88814205849093,0,0.0,-0.0330405739034347,1,-0.9381508942159018,0.0118179486857605,-0.5268697372565191,-0.5303208025842753,26.089474814158997,5.233644943675975,-0.780857793788147,-0.3649628546985719,-0.068838025422928,0.0,-0.4237505722031098,-0.8135259218374611,1.0,0,-1.8631751652070336,5.069333333333333,0.3692483822795868,0.1156302780508077,0.8798726201057434,30,-0.7163829824609229
Alexander McQueen,Avant-garde,2013,Resort,21.63640580858503,8.375165909110281,2.522934483307316,73.60153675079346,0.0845225066059002,0.1481505241216688,0.7364680779891621,0.4751996362487234,0.3343701837332032,28,0,14.23,2.88814205849093,0,0.0,-0.0330405739034347,1,-0.9381508942159018,0.0118179486857605,-0.5268697372565191,-0.5303208025842753,26.377677485169233,5.674257178230687,-0.8355757463327731,-0.3649628546985719,-0.068838025422928,0.0,-0.4237505722031098,-0.8135259218374611,1.0,0,-1.2189405138419676,5.364642857142857,0.3240196855343153,0.6338185646543859,0.8837204575538635,28,-0.039181944443003484
Alexander McQueen,Avant-garde,2013,Spring,32.31128670374552,8.655113386395328,2.2910830905955444,66.68429692586263,0.2105303221122051,0.22576790058731,0.7019968688403567,0.6284091379734776,0.4726220443216566,30,0,14.23,2.88814205849093,0,0.0,-0.0330405739034347,1,-0.9381508942159018,0.0118179486857605,-0.5268697372565191,-0.5303208025842753,30.382113899362498,3.9078704990191655,0.4936634427541106,-0.3649628546985719,-0.068838025422928,0.0,-0.4237505722031098,-0.8135259218374611,1.0,0,-0.3993353469257729,5.307164179104477,0.5345907694850651,0.3621742780209362,0.8078621625900269,30,0.3668611067810551
Alexander McQueen,Avant-garde,2014,Fall,25.667061614990235,4.0179021468282565,2.828900743850141,35.794847615559895,0.2068294158949827,0.1883625166463496,0.3662347802754491,0.4483795827287622,0.3197110569051363,30,0,14.18,3.13301748764181,0,-0.09,1.63272217207499,0,-0.9461787379066208,0.1376726681478441,-0.598259928447341,0.1146992891248555,28.275536728600564,4.0711027711311605,-0.6407293699651706,-0.9381508942159018,0.0118179486857605,0.0,-0.5268697372565191,-0.5303208025842753,1.0,0,0.6285751049129029,5.3340625,0.4344882731717963,0.4330390736067245,0.8480833768844604,30,0.572022842024533
Alexander McQueen,Avant-garde,2014,Pre-Fall,24.645554987589517,6.50903416056789,2.4832563648310373,13.732733790079752,0.402004786592846,0.2621568354465282,0.1811769973258177,0.4344443861161789,0.4780709797306193,15,0,14.18,3.13301748764181,0,-0.09,1.63272217207499,0,-0.9461787379066208,0.1376726681478441,-0.598259928447341,0.1146992891248555,26.692695624858786,5.026106434304083,-0.4073014895381373,-0.9381508942159018,0.0118179486857605,0.0,-0.5268697372565191,-0.5303208025842753,1.0,0,1.7942758356109754,5.629333333333333,0.2319626406701447,0.7137927013158306,0.8952025175094604,15,-0.08654955858159473
Alexander McQueen,Avant-garde,2014,Resort,14.601116271246047,4.39013236545835,2.313791936284046,78.25710768926712,0.070631892743476,0.1243288568092831,0.7852877796377454,0.7816210431159388,0.257186884748705,21,0,14.18,3.13301748764181,0,-0.09,1.63272217207499,0,-0.9461787379066208,0.1376726681478441,-0.598259928447341,0.1146992891248555,25.806305189315044,5.397714660047237,-2.075913534482932,-0.9381508942159018,0.0118179486857605,0.0,-0.5268697372565191,-0.5303208025842753,1.0,0,-1.9833557053102224,5.110454545454545,0.3387719737765364,0.1690157431632075,0.8938406705856323,22,-0.6734693110292912
Alexander McQueen,Avant-garde,2014,Spring,32.31828556060791,4.096150712368815,2.5814291979651696,48.425954818725586,0.2075507986887668,0.1873592483845319,0.513809420485422,0.6675427966636519,0.3423486161080913,30,0,14.18,3.13301748764181,0,-0.09,1.63272217207499,0,-0.9461787379066208,0.1376726681478441,-0.598259928447341,0.1146992891248555,29.83280547734278,4.1091741479893935,0.6048612187636946,-0.9381508942159018,0.0118179486857605,0.0,-0.5268697372565191,-0.5303208025842753,1.0,0,0.1066914729042646,4.975483870967742,0.2980080173822748,0.1789279166530434,0.8462584614753723,30,0.37975055262183144
