key,brand,tier,year,season,segmented,dispersion,lab_entropy,mean_L,mean_saturation,std_saturation,mean_value,hue_concentration,mean_hue
889583,Tory Burch,Fast Fashion,2015,Spring,True,35.478248596191406,2.336130277800065,56.68804931640625,0.2434054736085236,0.2583047972296084,0.6327451053755357,0.4211167968116621,0.5058053071191534
187984,Tory Burch,Fast Fashion,2012,Fall,True,29.255844116210938,2.727196347765648,19.33048439025879,0.3644657792095095,0.27704432713857,0.2603921630531549,0.4817615755935599,0.5888528307280503
1242147,Isabel Marant,Fast Fashion,2020,Resort,True,26.222902297973633,2.5824278165622054,26.899829864501953,0.1256761595401913,0.1842059366338202,0.2688705953508615,0.5626373735736511,0.3376075467392802
125176,Tory Burch,Fast Fashion,2013,Pre-Fall,True,15.452801704406738,2.427190156116916,18.793167114257812,0.3036586486697197,0.2036564677913084,0.2213176521193236,0.6358084055276276,0.5318598226075992
619716,Tory Burch,Fast Fashion,2010,Spring,True,28.050827026367188,2.7642765388705186,25.313718795776367,0.3108118394678458,0.2432621565844618,0.2901490252194926,0.2400468558524225,0.4085046356599778
428269,Tory Burch,Fast Fashion,2013,Fall,True,29.18974876403809,3.2628731121423877,48.10561752319336,0.1833534896876663,0.2153759886794324,0.4961255020312965,0.2355262009053893,0.4707984148804098
365641,Lacoste,Fast Fashion,2007,Spring,True,19.001502990722656,3.02616311054747,79.05661010742188,0.0915140077993273,0.126655963968585,0.8017804015576839,0.3247058733108661,0.5566767989788205
125756,Tory Burch,Fast Fashion,2021,Pre-Fall,True,26.28118896484375,1.6233045349818134,64.17362976074219,0.3722153306007385,0.1339869350194931,0.7027764916419983,0.9652593731880188,0.1102488338947296
437368,Lacoste,Fast Fashion,2011,Spring,True,36.882080078125,2.6069195594964674,78.9529037475586,0.2982324132323265,0.3187094054635935,0.8356627527996898,0.2077238191898252,0.4306523443087935
408210,Isabel Marant,Fast Fashion,2020,Resort,True,19.3905029296875,2.305177446907196,15.83267593383789,0.2196648376639932,0.1176448977253535,0.1779764757454395,0.6779564084245485,0.5445935165807605
943507,Isabel Marant,Fast Fashion,2009,Fall,True,30.574771881103516,1.9757170250335492,63.58927154541016,0.2205646882224828,0.2008559202802411,0.6662353035444394,0.9310000254218388,0.1061569096669554
